Acinetobacter	Aeromonas	Bacillus	Bacteroides	Bartonella	Bordetella	Borrelia	Brucella	Burkholderia	Campylobacter	Chlamydia	Clostridium	Corynebacterium	Coxiella	Enterobacter	Enterococcus	Escherichia	Francisellacf	Fusobacterium	Haemophilus	Helicobacter	Klebsiella	Kyrpidia	Legionella	Leptospira	Listeria	Mycobacterium	Mycoplasma	Neisseria	Pseudomonas	Rickettsia	Salmonella	Serratia	Shigella	Staphylococcus	Streptococcus	Vibrio	Yersinia	Group
FH1LRWINT	0.000592356557795617	3.06391322997733e-05	0.00130726964479033	0.000847682660293727	0	3.06391322997733e-05	0	0	0	0	0	0.00409543068406969	0.00257368711318095	0	0.000633208734195314	1.02130440999244e-05	0.000132769573299018	0	0	0.000234900014298262	1.02130440999244e-05	0	0	1.02130440999244e-05	0	0	0.00186898707028617	0	0.00062299569009539	0.000837469616193803	0	0	0	0	0.00275752190697959	0.00452437853626652	0.00703678738484793	0	Human Settlements
FH1TLWINT	0.000600470023087037	2.07058628650702e-05	0.000714352268844923	3.10587942976054e-05	0	2.07058628650702e-05	0	0	0	0	0	0.00215340973796731	0.00292987959540744	0	0.000434823120166475	7.24705200277459e-05	0.00042447018873394	0	3.10587942976054e-05	0.000134588108622957	0	0	0	0	0	0	0.00126305763476928	0	0.000186352765785632	0.000372705531571264	0	0	0	0	0.00372705531571264	0.00142870453768985	0.0096385791636902	0	Human Settlements
FT1BRWINT	0.000233287161915871	0	0.000772763723846322	0	1.45804476197419e-05	0.000131224028577677	0	0	0	0	0	0.000291608952394839	0.00438871473354232	0	2.91608952394839e-05	0	8.74826857184516e-05	0	2.91608952394839e-05	5.83217904789677e-05	0	0	0	2.91608952394839e-05	0	8.74826857184516e-05	0.000626959247648903	0	5.83217904789677e-05	0.000510315666690967	0	0	0	0	0.00552598964788219	0.000670700590508129	0.00125391849529781	0	Human Settlements
FT1KCWINT	0.000375953983232452	0	0.000764439765905986	2.50635988821635e-05	0	2.50635988821635e-05	0	0	0	1.25317994410817e-05	0	0.000689248969259496	0.00244370089101094	0	0.000112786194969736	0	0.00021304059049839	0	1.25317994410817e-05	3.75953983232452e-05	1.25317994410817e-05	0	0	2.50635988821635e-05	0	8.77225960875722e-05	0.00119052094690277	0	1.25317994410817e-05	0.000300763186585962	0	0	0	0	0.013496747998045	0.00150381593292981	0.00164166572678171	0.000200508791057308	Human Settlements
FT1LRWINT	0.000611071436459614	1.47246129267377e-05	0.00375477629631811	0.000154608435730746	2.20869193901065e-05	0.000198782274510959	0	2.20869193901065e-05	1.47246129267377e-05	0.000147246129267377	0	0.00109698366304196	0.00413761623241329	0	0.000139883822804008	2.94492258534754e-05	0.000456463000728868	2.94492258534754e-05	0.000139883822804008	0.000323941484388229	0	0	0	8.09853710970573e-05	0	0.000360753016705073	0.00150191051852724	0	6.62607581703196e-05	0.00119269364706575	0	2.20869193901065e-05	0	0	0.0155933650894152	0.0061916997356932	0.00674387272044586	1.47246129267377e-05	Human Settlements
FT1TLWINT	0.000837435215081278	0	0.00166556559443943	9.30483572312531e-06	1.86096714462506e-05	0.000902569065143155	0	1.86096714462506e-05	0	0	0	0.000418717607540639	0.00745317341422337	0	0.000223316057355007	5.58290143387518e-05	0.000548985307664393	0	5.58290143387518e-05	0.000483851457602516	0	0	0	0.000130267700123754	0	5.58290143387518e-05	0.00181444296600944	0	4.65241786156265e-05	0.00148877371570005	0	0	0	0	0.0075369169357315	0.00464311302583953	0.00254022015241321	0	Human Settlements
HFC1BRWINT	0.000252540436534183	7.2154410438338e-05	0.00126270218267092	0	0	0	0	4.81029402922254e-05	0	0	0	0.00140701100354759	0.000336720582045578	0	0.00116649630208646	0	0.000156334555949732	0	0	3.6077205219169e-05	0	0	0	0	0	1.20257350730563e-05	0.00210450363778486	0	1.20257350730563e-05	0.000601286753652817	0	0.000156334555949732	0	0	0.000673441164091155	0.000913955865552282	0.000709518369310324	6.01286753652817e-05	Human Settlements
HFC1KCWINT	0.000172094254699497	9.2666137145883e-05	0.000185332274291766	0	0	1.3238019592269e-05	0	0	0	0	0	0.000714853057982526	0.000714853057982526	0	0.000886947312682023	0	0.000542758803283029	0	0	0	0	0	0	6.6190097961345e-05	0	0	0.00119142176330421	0	0	0.00145618215514959	0	1.3238019592269e-05	0	0	0.00142970611596505	0.00052952078369076	5.2952078369076e-05	1.3238019592269e-05	Human Settlements
HFC1LRWINT	0.000578438697548866	0.000482032247957388	0.00061459111614567	0	0	0.000216914511580825	0	0	0	0	0	0.000277168542575498	0.00154250319346364	0	0.00160275722445832	0	0.000265117736376564	0	0	0	0	0	0	0	0	0	0.000795353209129691	0	0	0.000265117736376564	0	0	0	0	0.00189197657323275	0.00020486370538189	2.41016123978694e-05	2.41016123978694e-05	Human Settlements
HFC1TLWINT	0.000450277125103359	5.73079977404275e-05	0.000523958836483909	2.45605704601832e-05	0	0.000139176565941038	0	0	0	0	0	0.0027344101779004	0.000966049104767207	0	0.00147363422761099	1.63737136401221e-05	0.000736817113805497	0	0	4.09342841003054e-05	0	0	0	0	0	0.000114615995480855	0.00137539194577026	0	5.73079977404275e-05	0.000614014261504581	0	1.63737136401221e-05	0	0	0.00311919244844327	0.000646761688784825	0.000646761688784825	0.000122802852300916	Human Settlements
